,wgt_nominal,wgt_l1prefiring_up,wgt_l1prefiring_down,wgt_pdf_2rms_down,wgt_muID_up,wgt_muID_down,wgt_LHEFac_down,wgt_LHERen_up,wgt_pu_wgt_up,wgt_LHERen_down,wgt_qgl_wgt_down,wgt_pu_wgt_down,wgt_LHEFac_up,wgt_muIso_down,wgt_pdf_2rms_up,wgt_muIso_up,wgt_muTrig_up,wgt_qgl_wgt_up,wgt_muTrig_down,Absolute_up,FlavorQCD_up,Absolute_down,FlavorQCD_down
subCat0,1.0,0.9991434385108446,1.0007060735279718,0.995434793365804,1.004976007780152,0.9950363424258559,0.9647224260512579,0.857712914942094,0.9979567097941093,1.179716893744681,0.9972959146922842,1.0021341363742045,1.0290363769591402,0.9900766556358265,1.0045652066342285,1.0099747955413003,1.0000285599381782,1.0133698157825912,0.9999720095618163,0.9985731510436943,1.0008471762091904,1.0004047723393816,0.9984800140077191
subCat1,1.0,0.9990758640368734,1.0007383877653286,0.9952435529017876,1.0049760150645446,0.9950363351775872,0.9661335644856405,0.850432900887544,0.9972953871286184,1.1929094818356658,1.0003241829600074,1.0024170161243955,1.0271676890751946,0.9900762382080831,1.0047564470982053,1.0099752172752101,1.000025454564238,1.0238736380023903,0.9999751038977316,0.9967683233645576,1.0009235771640843,1.0028095262869898,0.9995460314866045
subCat2,1.0,0.9988576453343926,1.0009324547904344,0.9950126969602986,1.0049760123682934,0.9950363378604457,0.9716071074089915,0.8403251412895462,0.9984683392612801,1.2112260207402545,1.0015464840906259,1.0015687670257782,1.0216992957206472,0.9900763927158661,1.0049873030396983,1.009975061173571,1.0000239840535547,1.0372448029385943,0.9999767412821085,0.9999345374545238,0.9973306296038391,1.0002564375577123,1.0023912957413612
subCat3,1.0,0.9978636199558324,1.0019758649611514,0.9947153902182699,1.004976026757724,0.9950363235424854,0.9875980266852344,0.8254250696629374,0.995734356733065,1.238227090221712,1.0072259463119537,1.0042278190865757,1.0073700653322877,0.9900755681419368,1.0052846097817514,1.0099758942538475,1.0000331030562464,1.0368954306807336,0.9999680004315812,1.0207734297164772,1.0079798196999887,0.983773164242388,0.9944245883114411
subCat4,1.0,0.996197964033437,1.0036701165146915,0.9939799021052469,1.0049760426254768,0.9950363077534732,1.0063015235389514,0.8178607320105853,0.9947009382178731,1.2519346311234443,1.0041367062997817,1.0056890066590505,0.9915512153699926,0.9900746588528233,1.0060200978947658,1.009976812923204,1.0000341159328137,1.0181743375070778,0.9999671244978581,1.0071868840207563,0.9974499346695284,0.996111491177735,1.0022544713582056
