,RelativeBal_up,HF_up,HF_2016_up,Absolute_2017_up,BBEC1_2017_up,EC2_2016_up,HF_2018_up,RelativeSample_2018_up,EC2_2018_up,EC2_up,BBEC1_up,HF_2017_up,RelativeSample_2016_up,BBEC1_2016_up,Absolute_2018_up,Absolute_2016_up,EC2_2017_up,BBEC1_2018_up,FlavorQCD_up,RelativeSample_2017_up,Absolute_up,jer1_up,jer2_up,jer3_up,jer4_up,jer5_up,jer6_up,RelativeBal_down,HF_down,HF_2016_down,Absolute_2017_down,BBEC1_2017_down,EC2_2016_down,HF_2018_down,RelativeSample_2018_down,EC2_2018_down,EC2_down,BBEC1_down,HF_2017_down,RelativeSample_2016_down,BBEC1_2016_down,Absolute_2018_down,Absolute_2016_down,EC2_2017_down,BBEC1_2018_down,FlavorQCD_down,RelativeSample_2017_down,Absolute_down,jer1_down,jer2_down,jer3_down,jer4_down,jer5_down,jer6_down
subCat0,224.70043004109516,224.39147819409857,224.6064655212774,224.53975490150611,224.60594026043174,224.58310755571384,224.5818087003471,224.58586703972247,224.58162435168066,224.47966234705964,224.68340866367504,224.59412215081167,224.7051093508798,224.61737734329358,224.65849475931094,224.62718536347023,224.5424940317775,224.60566756414164,224.8423692611615,224.7514168142011,224.38285278464747,224.71555594126448,224.61256520519873,224.58176747125697,224.63525235518864,224.54527658175328,224.62232413765216,224.39719963929429,224.79916749359117,224.6306175027113,224.64105264595094,224.60575381363716,224.64612848669913,224.6417158459592,224.5374024104978,224.62937205150888,224.7302685559301,224.49185731668638,224.6321741679161,224.5111069131583,224.62058321545155,224.52522107564124,224.61016143122995,224.66932521044558,224.61478160475065,224.28629642742794,224.435425889592,224.67205377296034,224.49585951586624,224.61114721400568,224.63931780962758,224.60828135765647,224.66002710681525,224.61636273585876
subCat1,250.77292451295497,249.76521361623475,250.3142059374187,250.2345983355207,250.3496488233199,250.28445995144443,250.278296631164,250.65583403917273,250.2797472408433,250.02271535193304,250.5138097145946,250.29163692690014,250.4906256728638,250.33924509012718,250.46108495221273,250.32784663246707,250.16925441867832,250.3458284545181,250.5446454856116,250.620943301393,249.70359321602,250.4276260077706,250.34292598738034,250.3054112185174,250.3471122251483,250.17746345299966,250.361511625844,249.808802739433,250.81201570303276,250.38278710651616,250.49293600536896,250.3675203380284,250.41566205323505,250.41636017030896,250.05453690186042,250.45002315487983,250.57162393164657,250.32759751018003,250.3997588383556,250.17860138803178,250.35350001498065,250.2924244569365,250.38646433521455,250.49198075378996,250.35907180596402,250.24129882166383,250.00509223075804,250.9509844689473,250.41125791930088,250.37543743283294,250.39606404025608,250.34398888860738,250.4505061003417,250.34567310629632
subCat2,290.1884475379784,290.55137280107533,290.2814957873632,290.29099861112525,290.26649240740227,290.30381434801234,290.3012233405079,290.3320098773484,290.2842174890549,290.48183850336545,290.0165546803509,290.28692356672406,290.10638170713304,290.25536326171886,290.06723240568675,290.2234059169951,290.37895531483645,290.2622589987838,289.48949800479096,290.0966223325151,290.15937856217533,290.11438579355007,290.28240579086923,290.3135454546247,290.2658821758429,290.39977000566637,290.26763695530076,290.46918968610635,290.04621080373283,290.23352715030364,290.2094367367102,290.256327607488,290.2071880758692,290.2213321928803,290.2009676242206,290.20842536247045,290.1137002246135,290.3862722926994,290.24192144848405,290.43690639001426,290.2729675446181,290.4412430169415,290.2698044359293,290.1748173568311,290.259693352818,290.9644755826826,290.4487088633867,290.37084824780703,290.26194264514777,290.1965315669958,290.1704713990841,290.26684604512155,290.13452609608703,290.2640796413218
subCat3,49.189994473351014,50.01306698123051,49.602078618178886,49.733432578816156,49.59886050132019,49.625287482673535,49.63556378331958,49.25632982783641,49.66086444244637,49.78884321784465,49.6359263663982,49.62175336047643,49.52433543087733,49.59860456478736,49.642355025365084,49.62874881301756,49.694205914453974,49.59776177304029,49.95998172172507,49.37651709296489,50.4528364111686,49.570972251564505,49.580073676173015,49.61492081875918,49.57372870603075,49.67918225272221,49.575945158971564,50.04519936494484,49.20986080917466,49.56112407891958,49.46930147387092,49.56531967925225,49.53865945573441,49.533353315235026,49.990052473283995,49.53036502705677,49.4105019976529,49.55506307533572,49.545908224405316,49.642496284902855,49.556993264805776,49.54798634451835,49.533486443887355,49.47789068782646,49.5721989334364,49.267751260128996,49.86329110182184,48.8632803412989,49.61402318046798,49.613297484337465,49.58991505720291,49.58168961643442,49.55665551959657,49.57245282758836
subCat4,16.458198795099605,16.58886376783975,16.505749496240668,16.511210933510466,16.489053368004747,16.51332602263479,16.513102905140254,16.479954576398935,16.50354183645359,16.53693594027626,16.460295935459914,16.5155593555664,16.483543198724934,16.499405100551897,16.480828217903213,16.50280863452888,16.525085680732545,16.49847856999513,16.4735008871896,16.464495819404853,16.6113343864673,16.481455366329268,16.492024700857502,16.494350397320492,16.488019898268398,16.50830306733752,16.482577482710397,16.58960393070043,16.44274055094764,16.501939522028092,16.49726849857788,16.51507392207309,16.50235728894106,16.4972338360953,16.52703595061601,16.491809764563047,16.48390065063592,16.549205165577284,16.490232681317657,16.54088438437181,16.505951320622806,16.50312046644128,16.51007871421775,16.49598135158581,16.50424966350976,16.55017326857547,16.557477274920128,16.45282852946567,16.526912099695807,16.513581662306986,16.51422705430821,16.509189452659136,16.508280537638313,16.511427049413644
