,wgt_nominal,wgt_pu_wgt_down,wgt_THU_VBF_Mjj1500_down,wgt_THU_VBF_PTH25_up,wgt_THU_VBF_Mjj120_down,wgt_THU_VBF_Mjj1000_down,wgt_THU_VBF_Mjj120_up,wgt_muIso_down,wgt_l1prefiring_down,wgt_THU_VBF_JET01_up,wgt_pu_wgt_up,wgt_THU_VBF_Mjj1500_up,wgt_THU_VBF_PTH25_down,wgt_muTrig_down,wgt_pdf_2rms_up,wgt_qgl_wgt_up,wgt_THU_VBF_Mjj1000_up,wgt_pdf_2rms_down,wgt_THU_VBF_PTH200_down,wgt_muID_down,wgt_THU_VBF_Mjj700_up,wgt_LHERen_down,wgt_muTrig_up,wgt_LHERen_up,wgt_qgl_wgt_down,wgt_THU_VBF_Mjj60_up,wgt_THU_VBF_Mjj700_down,wgt_l1prefiring_up,wgt_THU_VBF_Mjj350_down,wgt_LHEFac_up,wgt_THU_VBF_JET01_down,wgt_muID_up,wgt_THU_VBF_Mjj350_up,wgt_THU_VBF_Yield_down,wgt_THU_VBF_Yield_up,wgt_THU_VBF_Mjj60_down,wgt_LHEFac_down,wgt_muIso_up,wgt_THU_VBF_PTH200_up
subCat0,224.6162232841126,225.13446092021135,224.6162232841126,224.6162232841126,224.6162232841126,224.6162232841126,224.6162232841126,222.87152092149725,225.0904691224382,224.6162232841126,224.09187575942767,224.6162232841126,224.6162232841126,224.6107097156269,225.53486430039007,227.53448178470316,224.6162232841126,223.6975822678337,224.6162232841126,223.73230729833102,224.6162232841126,265.01235658996745,224.62185904346245,192.64033363619748,224.03079271078005,224.6162232841126,224.6162232841126,224.11741565550028,224.6162232841126,231.1528721114932,224.6162232841126,225.50222220694246,224.6162232841126,223.7629502384342,225.46949632978678,224.6162232841126,216.6759774200908,226.3695821692074,224.6162232841126
subCat1,250.347849952465,251.02739020709745,250.347849952465,250.347849952465,250.347849952465,250.347849952465,250.347849952465,248.39797975841878,250.87028421023163,250.347849952465,249.60486630938593,250.347849952465,250.347849952465,250.34242629604006,251.41525740325366,256.260283735405,250.347849952465,249.28044250167338,250.347849952465,249.36597720269808,250.347849952465,298.6307810201405,250.35340748458376,212.91041032030367,250.44229454973024,250.347849952465,250.347849952465,249.79120337735125,250.347849952465,257.1608369210762,250.347849952465,251.33203282567058,250.347849952465,249.39682749608963,251.29887240883266,250.347849952465,241.85718283767787,252.30730122693058,250.347849952465
subCat2,290.2614491904158,290.706356072913,290.2614491904158,290.2614491904158,290.2614491904158,290.2614491904158,290.2614491904158,288.00646085444095,290.92247652133517,290.2614491904158,289.7983758763161,290.2614491904158,290.2614491904158,290.25578089492814,291.56277845205716,301.07695402288584,290.2614491904158,288.96011992875464,290.2614491904158,289.12450927547326,290.2614491904158,351.58524824876974,290.26731834444575,243.9068068694249,290.7055543342843,290.2614491904158,290.2614491904158,289.55350480419713,290.2614491904158,296.5593713314327,290.2614491904158,291.40106481328814,290.2614491904158,289.15880278681243,291.3640955940028,290.2614491904158,282.02190063926525,292.5275216223291,290.2614491904158
subCat3,49.581737538136586,49.78784781039267,49.581737538136586,49.581737538136586,49.581737538136586,49.581737538136586,49.581737538136586,49.194025533999316,49.76001917631199,49.581737538136586,49.36142968192746,49.581737538136586,49.581737538136586,49.58051345753612,49.82015110118035,51.43687252517469,49.581737538136586,49.343323975093746,49.581737538136586,49.38764626710606,49.581737538136586,61.37893187431814,49.583011424615336,40.934023304454925,49.91120121377476,49.581737538136586,49.581737538136586,49.39738490337529,49.581737538136586,49.94491287955591,49.581737538136586,49.77628564925597,49.581737538136586,49.393386226817825,49.77008884945625,49.581737538136586,48.96752384562268,49.97134381460332,49.581737538136586
subCat4,16.502735395366123,16.613115806608842,16.502735395366123,16.502735395366123,16.502735395366123,16.502735395366123,16.502735395366123,16.373973701484818,16.59298655064013,16.502735395366123,16.394352865355952,16.502735395366123,16.502735395366123,16.50233766777385,16.595214444438415,16.7993247902586,16.502735395366123,16.410256346294073,16.502735395366123,16.438140798241474,16.502735395366123,20.658353309432307,16.503151518521904,13.498040435188312,16.573534647000262,16.502735395366123,16.502735395366123,16.41086995644915,16.502735395366123,16.37439666234032,16.502735395366123,16.567481978182634,16.502735395366123,16.440044735328726,16.56542605540373,16.502735395366123,16.59509878445994,16.63212691904341,16.502735395366123
