,RelativeBal_up,HF_up,HF_2016_up,Absolute_2017_up,BBEC1_2017_up,EC2_2016_up,HF_2018_up,RelativeSample_2018_up,EC2_2018_up,EC2_up,BBEC1_up,HF_2017_up,RelativeSample_2016_up,BBEC1_2016_up,Absolute_2018_up,Absolute_2016_up,EC2_2017_up,BBEC1_2018_up,FlavorQCD_up,RelativeSample_2017_up,Absolute_up,jer1_up,jer2_up,jer3_up,jer4_up,jer5_up,jer6_up,RelativeBal_down,HF_down,HF_2016_down,Absolute_2017_down,BBEC1_2017_down,EC2_2016_down,HF_2018_down,RelativeSample_2018_down,EC2_2018_down,EC2_down,BBEC1_down,HF_2017_down,RelativeSample_2016_down,BBEC1_2016_down,Absolute_2018_down,Absolute_2016_down,EC2_2017_down,BBEC1_2018_down,FlavorQCD_down,RelativeSample_2017_down,Absolute_down,jer1_down,jer2_down,jer3_down,jer4_down,jer5_down,jer6_down
subCat0,2.6893262669938296,2.677512467450363,2.687683610490853,2.688080489197134,2.689226954861207,2.687739669948863,2.686956197957343,2.682610751793203,2.688756637951297,2.683554917884683,2.6916231888745843,2.687398629719189,2.6920900384654463,2.6885555891263726,2.6948906214153823,2.690203747228541,2.6882939207095533,2.689143367876655,2.7045603217777576,2.6923328691169277,2.6776745879679478,2.6956104422454312,2.6912665575616153,2.6879647318989637,2.690592811936144,2.6848920711318645,2.68998179259863,2.6816226061284,2.6949520933712137,2.6885903769710624,2.6868206662786074,2.6869096507250987,2.6884056908146388,2.6892506172210093,2.692734786107579,2.688427277720697,2.692151510227175,2.6844817782863375,2.6888635509792396,2.6816228971289635,2.686872648105808,2.6835796911109098,2.684975369167742,2.688285417484011,2.6872493000518856,2.6703765165189073,2.6821642545924895,2.688999704877999,2.681065755969022,2.6857934993116994,2.6869835887215463,2.687168030798235,2.6862699639201923,2.6870258293630838
subCat1,6.211413971669464,6.162174563325285,6.194833862422044,6.1885072118291,6.195912012882792,6.194213719702769,6.191990079956243,6.208646721674468,6.192690689409375,6.184184012749745,6.19605921305664,6.192679921209335,6.201806662299948,6.196178863136069,6.195095150579666,6.194305177892789,6.192136080325836,6.1964039327361515,6.173297735767811,6.2110394478011965,6.13740199356938,6.199689906325063,6.196939145034324,6.195880655692571,6.199181162109124,6.185868948439377,6.200053938475315,6.160351595747692,6.2183979700079215,6.198077286175486,6.202784303656392,6.19696063978563,6.198511495147286,6.199099233772204,6.168700291736547,6.1968991056670575,6.205063924196143,6.196706416172474,6.1991119706785955,6.1859443048578715,6.196989867711101,6.193113451202896,6.198995986275926,6.201219125579197,6.196357081665747,6.200724530339502,6.173308865636145,6.233583501199041,6.1934709855347165,6.194992782498247,6.195436817572683,6.194080919800153,6.196146313902195,6.1958423406051635
subCat2,16.327590594905068,16.297562768465315,16.3167574640849,16.310415477370313,16.31767495263983,16.317449333833423,16.315542091680182,16.334607184357445,16.315019654089184,16.31459960955482,16.31550022133966,16.317674092651956,16.31470018850466,16.31696122726561,16.30607757815997,16.313207169653506,16.312519608832094,16.315377028041613,16.274446786456917,16.320375600320766,16.265215742640258,16.312694877914353,16.319212446696678,16.31939083062098,16.31901816842851,16.31395572753263,16.321124085631745,16.281134483091133,16.323987696551974,16.318980858107864,16.318640309529762,16.318641641922778,16.318144104804638,16.319703613503883,16.28268928590262,16.320829083979962,16.318714628331588,16.321653595388533,16.318521966893705,16.314060610563544,16.32009836095982,16.32674961336977,16.3214153631403,16.319385165146514,16.320072023695264,16.351589735444136,16.30432004235426,16.34140782632172,16.321477425576678,16.315784993980927,16.311785340486992,16.320436779165234,16.30634832386728,16.31725804929903
subCat3,8.19000546101122,8.25334629794152,8.220424514004769,8.229467852374643,8.219015630448467,8.220421620633651,8.222642992843673,8.194696044551815,8.223916852211424,8.233578009308152,8.220488534680495,8.220341650799467,8.214171524996537,8.219515788745706,8.22301720485256,8.221307707526943,8.228177647884673,8.21989719480968,8.248539899963411,8.202191522251452,8.293161254239834,8.216635370291574,8.21536407731995,8.218291466428617,8.215664031424424,8.227179000525949,8.215552115067656,8.259541335472429,8.189795839771477,8.216091358295419,8.212011682793953,8.217945828202037,8.215848215256763,8.214163581378905,8.25345636345901,8.214460021511941,8.206611699822197,8.215677797892084,8.215560367969768,8.227088894602293,8.217480530847745,8.215207050666686,8.215463318789167,8.211482045757027,8.216914585823917,8.191866394578405,8.243876749660151,8.162935287837017,8.222345347702136,8.22055109311044,8.220119602057249,8.217816461965764,8.218751968097655,8.219243766624341
subCat4,5.492094770904017,5.519834968301111,5.490731614481029,5.493960034712395,5.488601514651295,5.490606721364883,5.49329970304617,5.489870363106694,5.490047231822309,5.494514515986194,5.486759907532211,5.492336771103644,5.487662651216992,5.489219597209828,5.491350510475997,5.491407263181812,5.4893038077314324,5.489609542019476,5.509586321517683,5.484491625993273,5.536977487066171,5.485800468707146,5.487648838871023,5.488903380842454,5.48597489158538,5.498535317853786,5.483719133710253,5.52778104504392,5.483297465781011,5.4886911859337655,5.490174103224885,5.489973304848054,5.489521559460267,5.488214019607594,5.512850338277877,5.489815576603927,5.487889302906486,5.491911477744169,5.488373208962286,5.501714358330923,5.488989657859121,5.491781259133349,5.489581028110461,5.490059311516827,5.489838074246787,5.495873888602689,5.5067611532405465,5.483504745247872,5.4920715507010565,5.493308696582293,5.4961057166451095,5.490928873754223,5.502914495696299,5.4910610795919705
