,wgt_nominal,wgt_pu_wgt_down,wgt_THU_VBF_Mjj1500_down,wgt_THU_VBF_PTH25_up,wgt_THU_VBF_Mjj120_down,wgt_THU_VBF_Mjj1000_down,wgt_THU_VBF_Mjj120_up,wgt_muIso_down,wgt_l1prefiring_down,wgt_THU_VBF_JET01_up,wgt_pu_wgt_up,wgt_THU_VBF_Mjj1500_up,wgt_THU_VBF_PTH25_down,wgt_muTrig_down,wgt_pdf_2rms_up,wgt_qgl_wgt_up,wgt_THU_VBF_Mjj1000_up,wgt_pdf_2rms_down,wgt_THU_VBF_PTH200_down,wgt_muID_down,wgt_THU_VBF_Mjj700_up,wgt_LHERen_down,wgt_muTrig_up,wgt_LHERen_up,wgt_qgl_wgt_down,wgt_THU_VBF_Mjj60_up,wgt_THU_VBF_Mjj700_down,wgt_l1prefiring_up,wgt_THU_VBF_Mjj350_down,wgt_LHEFac_up,wgt_THU_VBF_JET01_down,wgt_muID_up,wgt_THU_VBF_Mjj350_up,wgt_THU_VBF_Yield_down,wgt_THU_VBF_Yield_up,wgt_THU_VBF_Mjj60_down,wgt_LHEFac_down,wgt_muIso_up,wgt_THU_VBF_PTH200_up,RelativeBal_up,HF_up,HF_2016_up,Absolute_2017_up,BBEC1_2017_up,EC2_2016_up,HF_2018_up,RelativeSample_2018_up,EC2_2018_up,EC2_up,BBEC1_up,HF_2017_up,RelativeSample_2016_up,BBEC1_2016_up,Absolute_2018_up,Absolute_2016_up,EC2_2017_up,BBEC1_2018_up,FlavorQCD_up,RelativeSample_2017_up,Absolute_up,jer1_up,jer2_up,jer3_up,jer4_up,jer5_up,jer6_up,RelativeBal_down,HF_down,HF_2016_down,Absolute_2017_down,BBEC1_2017_down,EC2_2016_down,HF_2018_down,RelativeSample_2018_down,EC2_2018_down,EC2_down,BBEC1_down,HF_2017_down,RelativeSample_2016_down,BBEC1_2016_down,Absolute_2018_down,Absolute_2016_down,EC2_2017_down,BBEC1_2018_down,FlavorQCD_down,RelativeSample_2017_down,Absolute_down,jer1_down,jer2_down,jer3_down,jer4_down,jer5_down,jer6_down
subCat0,1.0,1.0023072137378217,1.0,1.0,1.0,1.0,1.0,0.9922325184837227,1.0021113605749026,1.0,0.9976655848049688,1.0,1.0,0.9999754533826405,1.0040898248703767,1.012992198238946,1.0,0.9959101751296168,1.0,0.9960647722908975,1.0,1.1798451274588415,1.0000250906157508,0.857642118719673,0.9973936407407578,1.0,1.0,0.9977792893971804,1.0,1.0291014100932172,1.0,1.0039445010243502,1.0,0.9962011958299241,1.0037988041700572,1.0,0.9646497223222458,1.0078060206847883,1.0,1.0003748916963848,0.9989994262803993,0.9999565580673893,0.9996595598417227,0.9999542195860542,0.9998525675130915,0.9998467849594195,0.9998648528412316,0.9998459642321197,0.9993920254955038,1.000299111874379,0.9999016049109107,1.0003957241621624,1.000005137915526,1.0001881942211488,1.000048803595739,0.9996717545542476,0.9999530055317616,1.001006810522154,1.0006018867564943,0.9989610256282782,1.0004422327813172,0.9999837140930411,0.9998466014059365,1.0000847181507988,0.9996841425729539,1.0000271612328369,0.9990248983728068,1.0008144746038543,1.0000640836106502,1.0001105412666784,0.9999533895178079,1.0001331391034418,1.0001134938584304,0.9996490864619556,1.0000585388143564,1.0005077339034112,0.9994463179657823,1.0000710139435625,0.9995320179040614,1.000019410580746,0.9995948546941943,0.9999730123995764,1.0002364118030147,0.9999935815884495,0.9985311530402354,0.9991950830982858,1.000248559467484,0.999464135909301,0.9999774011421227,1.0001028177091456,0.9999646422402619,1.00019501629073,1.000000620844497
subCat1,1.0,1.0027143842248356,1.0,1.0,1.0,1.0,1.0,0.9922113563411212,1.0020868334114545,1.0,0.9970321948312313,1.0,1.0,0.999978335518256,1.0042636972955483,1.0236168746169085,1.0,0.9957363027044399,1.0,0.9960779661181298,1.0,1.1928633742084993,1.000022199240456,0.8504583137451758,1.0003772534786426,1.0,1.0,0.9977765074666332,1.0,1.0272140822056384,1.0,1.0039312615362683,1.0,0.9962011958298985,1.0037988041700707,1.0,0.9660845215311443,1.007826914730195,1.0,1.0016979357345017,0.9976726928697774,0.999865610928743,0.999547622969537,1.0000071854855364,0.9997467923090508,0.9997221732828375,1.0012302246125389,0.9997279676592604,0.9987012686524223,1.0006629166663947,0.9997754603222055,1.0005703093532696,0.9999656283753208,1.0004523106540328,0.999920097895781,0.9992866104749029,0.9999919252434272,1.0007860883693787,1.0010908555794662,0.9974265537468474,1.000318660836595,0.9999803315063996,0.9998304809330072,0.9999970531909228,0.9993194009874753,1.0000545707637656,0.9978468071000636,1.0018540832312157,1.0001395544401832,1.0005795378427715,1.0000785722168861,1.0002708715125093,1.0002736601007638,0.9988283779922206,1.0004081249446888,1.0008938522109299,0.999919102791221,1.0002073470409292,0.9993239464031133,1.0000225688477722,0.9997786060653645,1.0001542429174322,1.000575722145616,1.0000448250444378,0.9995743876737052,0.9986308741146687,1.0024091859250912,1.0002532794543588,1.0001101965939518,1.000192588383724,0.9999845772038451,1.0004100540423901,0.9999913047139446
subCat2,1.0,1.001532779787802,1.0,1.0,1.0,1.0,1.0,0.9922311821212759,1.0022773514456125,1.0,0.9984046337693437,1.0,1.0,0.9999804717591555,1.0044833003668623,1.037261251408467,1.0,0.9955166996330694,1.0,0.9960830488578016,1.0,1.211270905004421,1.0000202202326431,0.8403003828090806,1.0015300176620323,1.0,1.0,0.9975610113289476,1.0,1.0216974116217734,1.0,1.0039261694105466,1.0,0.9962011958299015,1.0037988041700419,1.0,0.9716133555657083,1.007807004472119,1.0,0.9997484969063545,1.0009988360888715,1.0000690639318564,1.0001018027739883,1.000017374739224,1.00014595516461,1.0001370287036153,1.0002430935528277,1.0000784406565275,1.0007592786212718,0.9991562968118985,1.0000877635537868,0.9994657661783358,0.9999790329418049,0.99933089018445,0.9998689344605464,1.0004048285597291,1.0000027899273922,0.997340497031976,0.9994321434749243,0.9996483493466832,0.9994933416157195,1.0000721990485195,1.0001794804799404,1.0000152723878402,1.000476538705489,1.0000213179011619,1.0007157012971235,0.9992584671947194,0.9999038038286171,0.9998208082614805,0.9999823552767958,0.9998130612428969,0.9998617901287016,0.9997916307302815,0.9998173239054196,0.9994909797142735,1.0004300367914227,0.999932723611812,1.000604479858031,1.0000396826868825,1.0006194202744703,1.0000287852401233,0.9997015386169044,0.9999939508412063,1.0024220453464545,1.0006451413837185,1.0003768983366421,1.000001700035376,0.9997763477595766,0.9996865660542057,1.0000185930812404,0.9995627283792499,1.0000090623502134
subCat3,1.0,1.004156979615681,1.0,1.0,1.0,1.0,1.0,0.9921803465673413,1.0035957117888068,1.0,0.9955566733408713,1.0,1.0,0.9999753118655932,1.0048084955243932,1.0374156913240726,1.0,0.9951915044756255,1.0,0.9960854282107149,1.0,1.2379342661621642,1.000025692655038,0.8255867046403903,1.0066448594179411,1.0,1.0,0.9962818440031574,1.0,1.0073247804423953,1.0,1.0039237856674494,1.0,0.9962011958299386,1.0037988041700796,1.0,0.9876120982641748,1.0078578584739404,1.0,0.9920990452485805,1.0086993611864077,1.0004102534734014,1.003059494245495,1.0003453481873328,1.0008783464779436,1.0010856062706879,0.9934369441964416,1.0015958880878049,1.0041770557062217,1.0010929191059497,1.000807067769843,0.9988422731814288,1.0003401862760013,1.0012225769050929,1.0009481570678078,1.00226834277905,1.000323188248322,1.0076286996456618,0.9958609670543747,1.01756894607338,0.9997828779888199,0.9999664420400295,1.0006692641740735,0.9998384721370509,1.0019653348072093,0.9998831751476929,1.0093474301188372,0.9924997237405023,0.9995842529882873,0.9977323089135555,0.9996688728612685,0.9991311703756037,0.9990241523330169,1.0082351881039535,0.9989638823964104,0.9965463989568342,0.9994620103262748,0.999277368734734,1.0012254259286402,0.999500939770177,0.9993192817498121,0.9990268373670423,0.9979055423333995,0.9998076185875323,0.9936672998245355,1.0056785739601943,0.9855096405952883,1.0006511599620034,1.0006365236025987,1.0001649300624051,0.9999990334807825,0.9994941278828575,0.9998127393066633
subCat4,1.0,1.0066886130449448,1.0,1.0,1.0,1.0,1.0,0.9921975544783042,1.005468860350227,1.0,0.9934324505960022,1.0,1.0,0.9999758992928903,1.005603861836036,1.0179721353937332,1.0,0.9943961381639786,1.0,0.9960858248298166,1.0,1.2518138850625369,1.0000252154049503,0.8179274594064259,1.0042901525073242,1.0,1.0,0.994433320494082,1.0,0.9922231842206086,1.0,1.003923384897433,1.0,0.9962011958299349,1.0037988041700778,1.0,1.0055968533022561,1.0078406106974012,1.0,0.9973012595064075,1.0052190361422029,1.0001826425015208,1.000513583835727,0.9991709236660719,1.0006417498078313,1.0006282297768068,0.9986195731543036,1.0000488671161565,1.0020724167291526,0.9974283378549398,1.0007770808834442,0.9988370293662602,0.9997981974057972,0.9986725123479189,1.000004438001398,1.001354338225207,0.9997420533463689,0.998228505306779,0.9976828340850689,1.0065806660834948,0.9987105150432921,0.9993509745959068,0.9994919025334439,0.9991082995185236,1.000337378733768,0.9987785108242487,1.0052638870619413,0.9963645515133612,0.9999517732473457,0.9996687278407326,1.000747665548248,0.9999770882574309,0.9996666274324215,1.0014725168081353,0.9993379503130042,0.9988586895275864,1.002815882888373,0.9992423853531592,1.0023116767064204,1.000194872254789,1.0000233337726099,1.0004449758585896,0.9995907318624154,1.0000917586150029,1.0028745460720814,1.0033171397494125,0.9969758428100067,1.0014650119359285,1.0006572405532181,1.0006963487365443,1.0003910901519286,1.000336013523779,1.0005266795982175
