,wgt_nominal,wgt_pdf_2rms_down,wgt_muID_down,wgt_muTrig_up,wgt_muTrig_down,wgt_LHERen_down,wgt_LHEFac_down,wgt_pu_wgt_down,wgt_pu_wgt_up,wgt_qgl_wgt_down,wgt_LHERen_up,wgt_qgl_wgt_up,wgt_LHEFac_up,wgt_muID_up,wgt_pdf_2rms_up,wgt_muIso_down,wgt_muIso_up
subCat0,1.0,0.9954233187113742,0.9950655408267374,1.0000189211204706,0.999981392250173,1.179806223766034,0.9647936135399205,1.002892378650091,0.9970130275852536,0.9974614213237295,0.8576636368311317,1.0127596443720475,1.0289713343705968,1.0049466637470301,1.0045766812886232,0.9917581918188003,1.0082759125685505
subCat1,1.0,0.9952406299566999,0.9950655408267662,1.000016817237523,0.9999834916998485,1.193223848883711,0.9659837997436943,1.0032289863297763,0.9965418781336618,1.0006012014618113,0.8502594832455788,1.0228787214078208,1.0273136808514243,1.0049466637470472,1.0047593700433188,0.991758191818798,1.008275912568568
subCat2,1.0,0.9950106995064403,0.9950655408267682,1.0000189126623742,0.9999815876496978,1.2109551773080143,0.9715608216978057,1.0021987989027314,0.997854401892615,1.0015912747532019,0.8404745906495839,1.0367730155202577,1.021734163909782,1.0049466637470355,1.0049893004935768,0.9917581918187959,1.0082759125685752
subCat3,1.0,0.9947014795030654,0.9950655408267561,1.0000346651905456,0.999966266542214,1.2380512444330767,0.9882556744833435,1.0044708603285653,0.9956711787043803,1.0059675865739948,0.8255222275129166,1.0375883353961615,1.0067501359796114,1.0049466637470337,1.0052985204969351,0.9917581918187982,1.0082759125685523
subCat4,1.0,0.9939117056422871,0.9950655408267453,1.0000386660201126,0.9999624097294727,1.2529817532523866,1.0072633453076099,1.0075048041481873,0.9925396704565241,1.0022505006721034,0.8172828271704216,1.0194697469499592,0.9906519760683585,1.004946663747024,1.0060882943577019,0.9917581918187853,1.0082759125685632
