,wgt_nominal,wgt_pu_wgt_down,wgt_THU_VBF_Mjj1500_down,wgt_THU_VBF_PTH25_up,wgt_THU_VBF_Mjj120_down,wgt_THU_VBF_Mjj1000_down,wgt_THU_VBF_Mjj120_up,wgt_muIso_down,wgt_l1prefiring_down,wgt_THU_VBF_JET01_up,wgt_pu_wgt_up,wgt_THU_VBF_Mjj1500_up,wgt_THU_VBF_PTH25_down,wgt_muTrig_down,wgt_pdf_2rms_up,wgt_qgl_wgt_up,wgt_THU_VBF_Mjj1000_up,wgt_pdf_2rms_down,wgt_THU_VBF_PTH200_down,wgt_muID_down,wgt_THU_VBF_Mjj700_up,wgt_LHERen_down,wgt_muTrig_up,wgt_LHERen_up,wgt_qgl_wgt_down,wgt_THU_VBF_Mjj60_up,wgt_THU_VBF_Mjj700_down,wgt_l1prefiring_up,wgt_THU_VBF_Mjj350_down,wgt_LHEFac_up,wgt_THU_VBF_JET01_down,wgt_muID_up,wgt_THU_VBF_Mjj350_up,wgt_THU_VBF_Yield_down,wgt_THU_VBF_Yield_up,wgt_THU_VBF_Mjj60_down,wgt_LHEFac_down,wgt_muIso_up,wgt_THU_VBF_PTH200_up
subCat0,2.688211651121372,2.691726468946417,2.688218510664299,2.672038122106341,2.6902967911139317,2.688390390809671,2.6861265111287373,2.6671054675848085,2.701739894124823,2.6833440721306743,2.6849348654924494,2.688204791578433,2.704385180136374,2.68811368331196,2.72477377369393,2.750001230354848,2.68803291143308,2.6516495285488553,2.688115354185605,2.6776870746600396,2.686949376508801,2.6570545164041217,2.688311913940281,2.7132777891834143,2.679066649822085,2.692409791227431,2.6894739257339233,2.6745365765155498,2.6966149969331377,2.710221509719135,2.6930792301121005,2.698760910820315,2.67980830530959,2.6779982220063725,2.6984250802362912,2.6840135110152614,2.6743318435790817,2.709421210519913,2.688307948057106
subCat1,6.196736959970661,6.202068541518107,6.196723578557815,6.169536673575781,6.207350017871239,6.196943937001972,6.186123902069974,6.147777633959858,6.219551870507155,6.169621203964694,6.191723227022344,6.1967503413834395,6.223937246365352,6.196509711355205,6.2809954092511004,6.289432839192414,6.196529982939276,6.11247851069002,6.19663659198968,6.1723964518099725,6.195552109563535,6.131972484389483,6.196970340226486,6.248841139007857,6.194311019891088,6.1949588056317335,6.19792181037771,6.1733395592607065,6.210471661314044,6.256022553603965,6.223852715976848,6.221134606569935,6.183002258627129,6.173193916241088,6.22028000370006,6.198515114309482,6.154255864917069,6.2459351888897805,6.1968373279515605
subCat2,16.31837607242087,16.335184049291932,16.318055927204984,16.245341584825805,16.350439200000878,16.318310491185983,16.28631294484113,16.19079033114222,16.379267252043935,16.2598118069471,16.301384157880484,16.318696217636564,16.39141056001639,16.31781092232566,16.539765060940873,16.589902505151535,16.318441653655736,16.09698708390333,16.318269749220974,16.254585765657144,16.315500108168553,16.19832835083465,16.31896216499147,16.41496332335995,16.2978210188907,16.284105838293268,16.321252036673087,16.255706242888913,16.355620349701244,16.456723791720368,16.3769403378963,16.382316045519502,16.281131795140602,16.25638308446765,16.3803690603756,16.35264630654781,16.24213331782613,16.446583320585837,16.318482395620865
subCat3,8.218153519086774,8.246679232006146,8.217755995553635,8.171804220420775,8.227260548590175,8.217498050271233,8.209046489583205,8.153702823995111,8.25869185249635,8.197839516742228,8.188780738030745,8.218551042619774,8.264502817752447,8.217868649953457,8.330232800634466,8.308463285290157,8.218808987902076,8.106074237538692,8.21811979728098,8.186032911915733,8.216561980768594,8.194725329599427,8.218450405141445,8.237010291654217,8.225530728666973,8.19659083116118,8.21974505740497,8.176896165627705,8.236531642266195,8.26866367464944,8.238467521430875,8.250349528304575,8.199775395907183,8.186936627936877,8.249370410236304,8.239716207012194,8.210540267888316,8.282916983381087,8.218187240892515
subCat4,5.488952862883295,5.502521574203523,5.4883489911007235,5.460653681238947,5.49386087720132,5.487458968363443,5.484044848565316,5.44597136687453,5.529621414250555,5.469729566121989,5.477056380972633,5.489556734665845,5.517252044527681,5.488769703434929,5.576295546719362,5.511813574895499,5.49044675740298,5.40161017904696,5.4888600451224745,5.467472592033287,5.489445349481181,5.518259181359041,5.489144479630877,5.46538605256324,5.493847122643743,5.4702226684979856,5.488460376285418,5.447937349643577,5.490754675103758,5.484466532687121,5.508176159644207,5.51048360576226,5.487151050662767,5.46810464237997,5.509801083386135,5.507683057268632,5.526770255164476,5.532143703330699,5.4890456806442005
