,wgt_nominal,wgt_pu_wgt_down,wgt_THU_VBF_Mjj1500_down,wgt_THU_VBF_PTH25_up,wgt_THU_VBF_Mjj120_down,wgt_THU_VBF_Mjj1000_down,wgt_THU_VBF_Mjj120_up,wgt_muIso_down,wgt_l1prefiring_down,wgt_THU_VBF_JET01_up,wgt_pu_wgt_up,wgt_THU_VBF_Mjj1500_up,wgt_THU_VBF_PTH25_down,wgt_muTrig_down,wgt_pdf_2rms_up,wgt_qgl_wgt_up,wgt_THU_VBF_Mjj1000_up,wgt_pdf_2rms_down,wgt_THU_VBF_PTH200_down,wgt_muID_down,wgt_THU_VBF_Mjj700_up,wgt_LHERen_down,wgt_muTrig_up,wgt_LHERen_up,wgt_qgl_wgt_down,wgt_THU_VBF_Mjj60_up,wgt_THU_VBF_Mjj700_down,wgt_l1prefiring_up,wgt_THU_VBF_Mjj350_down,wgt_LHEFac_up,wgt_THU_VBF_JET01_down,wgt_muID_up,wgt_THU_VBF_Mjj350_up,wgt_THU_VBF_Yield_down,wgt_THU_VBF_Yield_up,wgt_THU_VBF_Mjj60_down,wgt_LHEFac_down,wgt_muIso_up,wgt_THU_VBF_PTH200_up
subCat0,1.0,1.0013074929660315,1.0000025517123714,0.9939835358542978,1.00077566064848,1.0000664901843663,0.9992243393514924,0.9921486154084039,1.0050324322483344,0.9981892872948946,0.9987810537062602,0.9999974482876242,1.0060164641456917,0.999963556511865,1.013600909198242,1.022985384803202,0.9999335098156362,0.9863990908017735,0.9999641780677029,0.9960849152420934,0.9995304407627114,0.9884097166589345,1.0000372972190887,1.0093244659703733,0.9965981096408566,1.0015616851092466,1.0004695592372814,0.9949129472003748,1.003125998582835,1.008187546761276,1.0018107127051168,1.0039242667870079,0.9968740014171591,0.9962006603495157,1.0037993396504545,0.9984383148907344,0.9948367876701597,1.0078898398456437,1.0000358219322851
subCat1,1.0,1.0008603853256781,0.9999978405711051,0.9956105468780445,1.0017126849129043,1.0000334009709704,0.9982873150870781,0.9920991763363417,1.0036817619795504,0.995624187991014,0.9991909075726944,1.0000021594288842,1.004389453121925,0.9999633276969921,1.0135972286422237,1.0149588210409035,0.9999665990290176,0.9864027713577438,0.9999838030915902,0.9960720443165618,0.9998087944647677,0.9895486163121754,1.000037661798029,1.0084083251191356,0.9996085133038172,0.9997130498921588,1.00019120553522,0.9962242385208384,1.0022164409159378,1.0095672277226344,1.0043758120090216,1.00393717641347,0.9977835590840382,0.9962007353415749,1.003799264658397,1.0002869501078242,0.9931446025016054,1.0079393766811353,1.0000161969083967
subCat2,1.0,1.0010300030343993,0.9999803813066651,0.9955244022278357,1.0019648479381593,0.9999959811420819,0.9980351520618567,0.9921814682593154,1.003731448481934,0.9964111462308587,0.9989587251534725,1.0000196186933228,1.004475597772192,0.9999653672588066,1.0135668517221001,1.0166393047644955,1.0000040188579165,0.9864331482780505,0.9999934844497133,0.996090891245512,0.9998237591633166,0.9926434026858156,1.0000359161088086,1.0059189254194427,0.998740373831382,0.9978998992316691,1.0001762408366772,0.9961595547710244,1.002282351939622,1.0084780322922764,1.0035888537692428,1.003918280398421,0.9977176480603842,0.9962010320341866,1.0037989679659056,1.0021001007682901,0.9953277976769026,1.0078566180602766,1.0000065155502926
subCat3,1.0,1.0034710610909277,0.9999516286070568,0.9943601322902581,1.0011081600608032,0.9999202413517807,0.9988918399391763,0.9921575211582534,1.0049327787945825,0.9975281549197922,0.996425866103887,1.0000483713929262,1.0056398677097023,0.999965336601141,1.0136380126371922,1.010989058064398,1.0000797586481902,0.9863619873627602,0.9999958966687936,0.9960915055801233,0.9998063386970706,0.9971492149139177,1.0000361256398995,1.0022945266870043,1.0008976723984366,0.9973762125670304,1.0001936613029312,0.9949797295264381,1.002236283751178,1.0061461684118405,1.0024718450801535,1.0039176694792844,0.9977637162488012,0.9962014714038383,1.0037985285961168,1.0026237874329482,0.999073605624332,1.0078805371722368,1.0000041033312
subCat4,1.0,1.0024720036151122,0.9998899841558752,0.9948443387379569,1.0008941622274101,0.9997278361543321,0.9991058377725982,0.9921694543417545,1.0074091638939486,0.9964978207608058,0.997832650013975,1.000110015844121,1.00515566126205,0.9999666312586497,1.015912449244497,1.0041648585045775,1.0002721638456373,0.9840875507554542,0.9999830900787201,0.9960866359419374,1.0000897232332264,1.0053391455907588,1.0000349095268932,0.9957065016026252,1.0008916563655599,0.9965876561790202,0.9999102767667751,0.992527625165618,1.0003282615583469,0.9991826619196331,1.0035021792391225,1.0039225592598102,0.9996717384416413,0.9962017854727261,1.0037982145271855,1.0034123438209848,1.0068897280093085,1.0078686848887817,1.0000169099212954
