,RelativeBal_up,RelativeSample_2017_up,BBEC1_up,HF_2018_up,BBEC1_2017_up,Absolute_up,Absolute_2018_up,HF_2017_up,EC2_2018_up,HF_2016_up,Absolute_2016_up,Absolute_2017_up,EC2_2017_up,EC2_2016_up,BBEC1_2018_up,EC2_up,HF_up,FlavorQCD_up,BBEC1_2016_up,RelativeSample_2018_up,RelativeSample_2016_up,jer1_up,jer2_up,jer3_up,jer4_up,jer5_up,jer6_up,RelativeBal_down,RelativeSample_2017_down,BBEC1_down,HF_2018_down,BBEC1_2017_down,Absolute_down,Absolute_2018_down,HF_2017_down,EC2_2018_down,HF_2016_down,Absolute_2016_down,Absolute_2017_down,EC2_2017_down,EC2_2016_down,BBEC1_2018_down,EC2_down,HF_down,FlavorQCD_down,BBEC1_2016_down,RelativeSample_2018_down,RelativeSample_2016_down,jer1_down,jer2_down,jer3_down,jer4_down,jer5_down,jer6_down
subCat0,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.69888336727706,164.97649106155222,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.8577512037474,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,165.07394793326785,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,165.0009803962587,164.84321737788252,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.95904894819222,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.68352188293403,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304,164.93421958635304
subCat1,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.18842725338985,183.89558738735954,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.6691007706675,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.9520895714346,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,184.29869373772615,183.7269268920833,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.92743844051577,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.69892098630714,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783,183.78235238760783
subCat2,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.16690020819595,212.98663878493247,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.21040499037093,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,212.61179690476334,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.23552314760184,213.36064939618717,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1288431159559,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.69063404171203,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487,213.1808555696487
subCat3,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,37.15747506222874,36.46191279969471,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.55299035314578,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.69177108590605,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,35.81061747206674,36.367544118847974,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.288859248200545,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.198343105102566,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445,36.401295312466445
subCat4,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.197565635378824,12.088621492931628,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.119004208538879,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.079646031098576,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.063436772817479,12.110913741469695,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.105061773606296,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.137831510414747,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633,12.110528670394633
