,subCat0_ggh,subCat1_ggh,subCat2_ggh,subCat3_ggh,subCat4_ggh,subCat0_vbf,subCat1_vbf,subCat2_vbf,subCat3_vbf,subCat4_vbf
wgt_nominal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wgt_pu_wgt_down,1.0023072137378215,1.0027143842248356,1.001532779787802,1.004156979615681,1.0066886130449448,1.0013074929660315,1.000860385325678,1.0010300030343993,1.0034710610909277,1.0024720036151122
wgt_THU_VBF_Mjj1500_down,1.0,1.0,1.0,1.0,1.0,1.0000025517123714,0.9999978405711052,0.9999803813066652,0.9999516286070568,0.9998899841558752
wgt_THU_VBF_PTH25_up,1.0,1.0,1.0,1.0,1.0,0.9939835358542978,0.9956105468780444,0.9955244022278356,0.994360132290258,0.9948443387379567
wgt_THU_VBF_Mjj120_down,1.0,1.0,1.0,1.0,1.0,1.00077566064848,1.0017126849129043,1.001964847938159,1.0011081600608032,1.00089416222741
wgt_THU_VBF_Mjj1000_down,1.0,1.0,1.0,1.0,1.0,1.0000664901843663,1.0000334009709704,0.999995981142082,0.9999202413517808,0.999727836154332
wgt_THU_VBF_Mjj120_up,1.0,1.0,1.0,1.0,1.0,0.9992243393514924,0.998287315087078,0.9980351520618568,0.9988918399391764,0.9991058377725982
wgt_muIso_down,0.9922325184837228,0.9922113563411212,0.992231182121276,0.9921803465673412,0.9921975544783042,0.992148615408404,0.9920991763363416,0.9921814682593154,0.9921575211582534,0.9921694543417544
wgt_l1prefiring_down,1.0021113605749026,1.0020868334114543,1.0022773514456125,1.0035957117888068,1.005468860350227,1.0050324322483344,1.0036817619795504,1.003731448481934,1.0049327787945823,1.0074091638939486
wgt_THU_VBF_JET01_up,1.0,1.0,1.0,1.0,1.0,0.9981892872948946,0.995624187991014,0.9964111462308588,0.9975281549197922,0.9964978207608058
wgt_pu_wgt_up,0.9976655848049688,0.9970321948312312,0.9984046337693436,0.9955566733408712,0.9934324505960022,0.9987810537062602,0.9991909075726944,0.9989587251534724,0.996425866103887,0.997832650013975
wgt_THU_VBF_Mjj1500_up,1.0,1.0,1.0,1.0,1.0,0.9999974482876242,1.0000021594288842,1.0000196186933228,1.0000483713929262,1.000110015844121
wgt_THU_VBF_PTH25_down,1.0,1.0,1.0,1.0,1.0,1.0060164641456917,1.004389453121925,1.004475597772192,1.0056398677097025,1.00515566126205
wgt_muTrig_down,0.9999754533826404,0.999978335518256,0.9999804717591556,0.9999753118655932,0.9999758992928904,0.999963556511865,0.999963327696992,0.9999653672588066,0.999965336601141,0.9999666312586496
wgt_pdf_2rms_up,1.004089824870377,1.0042636972955483,1.0044833003668625,1.0048084955243932,1.005603861836036,1.013600909198242,1.0135972286422237,1.0135668517221,1.0136380126371922,1.015912449244497
wgt_qgl_wgt_up,1.012992198238946,1.0236168746169083,1.037261251408467,1.0374156913240726,1.0179721353937332,1.022985384803202,1.0149588210409035,1.0166393047644957,1.010989058064398,1.0041648585045777
wgt_THU_VBF_Mjj1000_up,1.0,1.0,1.0,1.0,1.0,0.9999335098156362,0.9999665990290176,1.0000040188579165,1.0000797586481902,1.000272163845637
wgt_pdf_2rms_down,0.9959101751296168,0.99573630270444,0.9955166996330694,0.9951915044756257,0.9943961381639786,0.9863990908017736,0.9864027713577438,0.9864331482780504,0.9863619873627602,0.9840875507554542
wgt_THU_VBF_PTH200_down,1.0,1.0,1.0,1.0,1.0,0.9999641780677028,0.9999838030915902,0.9999934844497133,0.9999958966687936,0.99998309007872
wgt_muID_down,0.9960647722908976,0.9960779661181298,0.9960830488578016,0.9960854282107148,0.9960858248298166,0.9960849152420934,0.9960720443165618,0.996090891245512,0.9960915055801232,0.9960866359419374
wgt_THU_VBF_Mjj700_up,1.0,1.0,1.0,1.0,1.0,0.9995304407627114,0.9998087944647676,0.9998237591633166,0.9998063386970706,1.0000897232332264
wgt_LHERen_down,1.1798451274588415,1.1928633742084993,1.211270905004421,1.2379342661621642,1.2518138850625369,0.9884097166589344,0.9895486163121754,0.9926434026858156,0.9971492149139176,1.0053391455907588
wgt_muTrig_up,1.0000250906157508,1.000022199240456,1.0000202202326431,1.000025692655038,1.0000252154049505,1.0000372972190887,1.000037661798029,1.0000359161088086,1.0000361256398995,1.0000349095268932
wgt_LHERen_up,0.857642118719673,0.8504583137451758,0.8403003828090806,0.8255867046403903,0.8179274594064259,1.0093244659703733,1.0084083251191356,1.0059189254194427,1.0022945266870045,0.9957065016026252
wgt_qgl_wgt_down,0.9973936407407578,1.0003772534786426,1.0015300176620323,1.0066448594179411,1.0042901525073242,0.9965981096408566,0.9996085133038172,0.998740373831382,1.0008976723984366,1.00089165636556
wgt_THU_VBF_Mjj60_up,1.0,1.0,1.0,1.0,1.0,1.0015616851092466,0.9997130498921588,0.9978998992316692,0.9973762125670304,0.9965876561790202
wgt_THU_VBF_Mjj700_down,1.0,1.0,1.0,1.0,1.0,1.0004695592372814,1.00019120553522,1.0001762408366772,1.0001936613029312,0.9999102767667752
wgt_l1prefiring_up,0.9977792893971804,0.9977765074666332,0.9975610113289476,0.9962818440031574,0.994433320494082,0.9949129472003748,0.9962242385208384,0.9961595547710244,0.994979729526438,0.992527625165618
wgt_THU_VBF_Mjj350_down,1.0,1.0,1.0,1.0,1.0,1.003125998582835,1.0022164409159378,1.002282351939622,1.002236283751178,1.0003282615583469
wgt_LHEFac_up,1.0291014100932172,1.0272140822056384,1.0216974116217734,1.0073247804423953,0.9922231842206086,1.008187546761276,1.0095672277226344,1.0084780322922764,1.0061461684118405,0.9991826619196332
wgt_THU_VBF_JET01_down,1.0,1.0,1.0,1.0,1.0,1.0018107127051168,1.0043758120090216,1.0035888537692428,1.0024718450801535,1.0035021792391223
wgt_muID_up,1.0039445010243502,1.0039312615362683,1.0039261694105466,1.0039237856674494,1.003923384897433,1.003924266787008,1.00393717641347,1.003918280398421,1.0039176694792844,1.0039225592598102
wgt_THU_VBF_Mjj350_up,1.0,1.0,1.0,1.0,1.0,0.9968740014171592,0.9977835590840382,0.9977176480603842,0.9977637162488012,0.9996717384416411
wgt_THU_VBF_Yield_down,0.996201195829924,0.9962011958298984,0.9962011958299016,0.9962011958299386,0.9962011958299348,0.9962006603495156,0.9962007353415748,0.9962010320341866,0.9962014714038384,0.996201785472726
wgt_THU_VBF_Yield_up,1.0037988041700572,1.0037988041700707,1.003798804170042,1.0037988041700796,1.0037988041700778,1.0037993396504543,1.003799264658397,1.0037989679659056,1.0037985285961168,1.0037982145271855
wgt_THU_VBF_Mjj60_down,1.0,1.0,1.0,1.0,1.0,0.9984383148907344,1.0002869501078242,1.00210010076829,1.0026237874329482,1.0034123438209848
wgt_LHEFac_down,0.9646497223222458,0.9660845215311444,0.9716133555657084,0.9876120982641748,1.005596853302256,0.9948367876701596,0.9931446025016054,0.9953277976769026,0.999073605624332,1.0068897280093083
wgt_muIso_up,1.0078060206847883,1.007826914730195,1.007807004472119,1.0078578584739404,1.0078406106974012,1.0078898398456435,1.007939376681135,1.0078566180602766,1.0078805371722368,1.0078686848887817
wgt_THU_VBF_PTH200_up,1.0,1.0,1.0,1.0,1.0,1.0000358219322851,1.0000161969083967,1.0000065155502926,1.0000041033312,1.0000169099212954
RelativeBal_up,1.0003748916963848,1.0016979357345015,0.9997484969063544,0.9920990452485804,0.9973012595064076,1.0004146309952913,1.0023685064887558,1.0005646715361445,0.996574892643441,1.0005724057209469
HF_up,0.9989994262803992,0.9976726928697774,1.0009988360888715,1.0086993611864077,1.0052190361422029,0.9960199623171242,0.994422484467448,0.9987245480884136,1.004282321907593,1.0056262289346012
HF_2016_up,0.9999565580673891,0.999865610928743,1.0000690639318564,1.0004102534734014,1.0001826425015208,0.999803571779663,0.9996928871499774,0.999900810697781,1.0002763388287552,1.000324060279286
Absolute_2017_up,0.9996595598417228,0.999547622969537,1.0001018027739883,1.003059494245495,1.000513583835727,0.9999512084830884,0.9986719223044768,0.9995121698988164,1.0013767488355616,1.000912227150457
