,wgt_nominal,wgt_l1prefiring_up,wgt_l1prefiring_down,wgt_pdf_2rms_down,wgt_muID_up,wgt_muID_down,wgt_LHEFac_down,wgt_LHERen_up,wgt_pu_wgt_up,wgt_LHERen_down,wgt_qgl_wgt_down,wgt_pu_wgt_down,wgt_LHEFac_up,wgt_muIso_down,wgt_pdf_2rms_up,wgt_muIso_up,wgt_muTrig_up,wgt_qgl_wgt_up,wgt_muTrig_down,Absolute_up,FlavorQCD_up,Absolute_down,FlavorQCD_down
subCat0,164.93421958635406,164.7929432856125,165.05067527266067,164.1812607928925,165.75493354622904,164.1155425980687,159.1157404582184,141.46621025511115,164.59721111085705,194.5756852026167,164.48822338643103,165.28621170372432,169.72331175972505,163.29752052796246,165.687178379821,166.57940470449188,164.9389300974689,167.13935971846905,164.92960300527636,164.69888336727817,165.073947933269,165.0009803962601,164.68352188293503
subCat1,183.78235238761098,183.6125125063816,183.9180550280973,182.90820135089427,184.69685614168918,182.87011839008431,177.55829920179866,156.29455907293286,183.28529227181068,219.23571075724476,183.84193149460512,184.22655729671118,188.77529419478546,181.9585401009582,184.6565034243264,185.61562128402664,183.78703048730566,188.16990573974056,183.77777692337082,183.1884272533933,183.95208957143788,184.29869373772883,183.69892098630925
subCat2,213.1808555696511,212.93732742467293,213.37963707965594,212.11765804066243,214.24164614364906,212.12269782798222,207.1280344350027,179.14123257679339,212.85433482292834,258.21019938963144,213.51053637121555,213.51528666639598,217.80672999663756,211.06533247848222,214.2440530986391,215.30734764499257,213.18596851070794,221.1207345256237,213.17589725627153,213.1669002081987,212.6117969047652,213.2355231476044,213.69063404171456
subCat3,36.40129531246628,36.323528311578876,36.47321935641471,36.20892867119038,36.58242913195692,36.220611059900754,35.94984741937817,30.046541719113637,36.246020372208946,45.07306997505637,36.664329118079735,36.5551934035644,36.66957523709905,36.040033137592474,36.59366195374296,36.76443078520652,36.40250030659245,37.74433678035629,36.4001304867264,37.15747506222853,36.691771085905806,35.81061747206656,36.198343105102474
subCat4,12.110528670394602,12.06448400481567,12.154975721669464,12.037622102241613,12.170791177275545,12.050415733132024,12.186843451880241,9.90472584340411,12.046354230755963,15.161590243680363,12.16062637063911,12.1794255486451,12.008209421902908,11.990327541868272,12.183435238547746,12.23135314934023,12.11094183237706,12.330629505839495,12.110130530683358,12.197565635378773,12.079646031098546,12.06343677281748,12.137831510414735
