,wgt_nominal,wgt_pu_wgt_down,wgt_THU_VBF_Mjj1500_down,wgt_THU_VBF_PTH25_up,wgt_THU_VBF_Mjj120_down,wgt_THU_VBF_Mjj1000_down,wgt_THU_VBF_Mjj120_up,wgt_muIso_down,wgt_l1prefiring_down,wgt_THU_VBF_JET01_up,wgt_pu_wgt_up,wgt_THU_VBF_Mjj1500_up,wgt_THU_VBF_PTH25_down,wgt_muTrig_down,wgt_pdf_2rms_up,wgt_qgl_wgt_up,wgt_THU_VBF_Mjj1000_up,wgt_pdf_2rms_down,wgt_THU_VBF_PTH200_down,wgt_muID_down,wgt_THU_VBF_Mjj700_up,wgt_LHERen_down,wgt_muTrig_up,wgt_LHERen_up,wgt_qgl_wgt_down,wgt_THU_VBF_Mjj60_up,wgt_THU_VBF_Mjj700_down,wgt_l1prefiring_up,wgt_THU_VBF_Mjj350_down,wgt_LHEFac_up,wgt_THU_VBF_JET01_down,wgt_muID_up,wgt_THU_VBF_Mjj350_up,wgt_THU_VBF_Yield_down,wgt_THU_VBF_Yield_up,wgt_THU_VBF_Mjj60_down,wgt_LHEFac_down,wgt_muIso_up,wgt_THU_VBF_PTH200_up
subCat0,1.0,1.0023072137378217,1.0,1.0,1.0,1.0,1.0,0.9922325184837227,1.0021113605749026,1.0,0.9976655848049688,1.0,1.0,0.9999754533826405,1.0040898248703767,1.012992198238946,1.0,0.9959101751296168,1.0,0.9960647722908975,1.0,1.1798451274588415,1.0000250906157508,0.857642118719673,0.9973936407407578,1.0,1.0,0.9977792893971804,1.0,1.0291014100932172,1.0,1.0039445010243502,1.0,0.9962011958299241,1.0037988041700572,1.0,0.9646497223222458,1.0078060206847883,1.0
subCat1,1.0,1.0027143842248356,1.0,1.0,1.0,1.0,1.0,0.9922113563411212,1.0020868334114545,1.0,0.9970321948312313,1.0,1.0,0.999978335518256,1.0042636972955483,1.0236168746169085,1.0,0.9957363027044399,1.0,0.9960779661181298,1.0,1.1928633742084993,1.000022199240456,0.8504583137451758,1.0003772534786426,1.0,1.0,0.9977765074666332,1.0,1.0272140822056384,1.0,1.0039312615362683,1.0,0.9962011958298985,1.0037988041700707,1.0,0.9660845215311443,1.007826914730195,1.0
subCat2,1.0,1.001532779787802,1.0,1.0,1.0,1.0,1.0,0.9922311821212759,1.0022773514456125,1.0,0.9984046337693437,1.0,1.0,0.9999804717591555,1.0044833003668623,1.037261251408467,1.0,0.9955166996330694,1.0,0.9960830488578016,1.0,1.211270905004421,1.0000202202326431,0.8403003828090806,1.0015300176620323,1.0,1.0,0.9975610113289476,1.0,1.0216974116217734,1.0,1.0039261694105466,1.0,0.9962011958299015,1.0037988041700419,1.0,0.9716133555657083,1.007807004472119,1.0
subCat3,1.0,1.004156979615681,1.0,1.0,1.0,1.0,1.0,0.9921803465673413,1.0035957117888068,1.0,0.9955566733408713,1.0,1.0,0.9999753118655932,1.0048084955243932,1.0374156913240726,1.0,0.9951915044756255,1.0,0.9960854282107149,1.0,1.2379342661621642,1.000025692655038,0.8255867046403903,1.0066448594179411,1.0,1.0,0.9962818440031574,1.0,1.0073247804423953,1.0,1.0039237856674494,1.0,0.9962011958299386,1.0037988041700796,1.0,0.9876120982641748,1.0078578584739404,1.0
subCat4,1.0,1.0066886130449448,1.0,1.0,1.0,1.0,1.0,0.9921975544783042,1.005468860350227,1.0,0.9934324505960022,1.0,1.0,0.9999758992928903,1.005603861836036,1.0179721353937332,1.0,0.9943961381639786,1.0,0.9960858248298166,1.0,1.2518138850625369,1.0000252154049503,0.8179274594064259,1.0042901525073242,1.0,1.0,0.994433320494082,1.0,0.9922231842206086,1.0,1.003923384897433,1.0,0.9962011958299349,1.0037988041700778,1.0,1.0055968533022561,1.0078406106974012,1.0
